Actor_ID,Name,Birth_Year,Death_Year,Primary_Profession
1,Andy Samberg,1978,,"actor,producer,writer"
2,Jason Bateman,,,
3,Goldie Hawn,,,
4,Shawn Wayans,1971,,"actor,writer,music_department"
5,Leslie Mann,,,actress
6,Robin Williams,,,transportation_department
7,Anna Kendrick,,,actress
8,Riz Ahmed,1982,,"actor,producer,writer"
9,Tom Hanks,1956,,"producer,actor,writer"
10,Janeane Garofalo,1964,,"actress,writer,producer"
11,Ice Cube,1969,,"music_artist,actor,producer"
12,Jason London,,,sound_department
13,Jim Carrey,,,actor
14,Luke Wilson,,,visual_effects
15,Trey Parker,,,composer
16,Amy Schumer,1981,,"writer,actress,producer"
17,Chris Farley,,,writer
18,Eddie Murphy,,,art_department
19,Ben Stiller,1965,,"producer,actor,director"
20,Jay Chandrasekhar,1968,,"director,actor,writer"
21,Adam Sandler,,,"director,producer,editorial_department"
22,Jonah Hill,1983,,"actor,producer,writer"
23,William Hurt,1950,2022,"actor,producer,archive_footage"
24,Peter Capaldi,,,actor
25,Constance Wu,1982,,"actress,producer,director"
26,Stephen Chow,,,producer
27,Ralph Fiennes,1962,,"actor,director,producer"
28,Colin Farrell,,,stunts
29,Jason Biggs,,,miscellaneous
30,George Clooney,1961,,"actor,producer,director"
31,Reese Witherspoon,1976,,"producer,actress,executive"
32,Bill Nighy,1949,,"actor,producer,soundtrack"
33,Michael Keaton,,,
34,Billy Crystal,1948,,"actor,writer,producer"
35,Bill Murray,,,writer
36,Renée Zellweger,1969,,"actress,producer,writer"
37,Cher,,,miscellaneous
38,Peter Falk,,,"music_department,soundtrack"
39,Alec Guinness,1914,2000,"actor,writer,soundtrack"
40,Steve Martin,,,"writer,editor"
41,John Cho,1972,,"actor,producer,writer"
42,Jon Heder,1977,,"actor,producer,executive"
43,Dudley Moore,1935,2002,"actor,writer,music_department"
44,Dustin Hoffman,1937,,"actor,producer,director"
45,Michael Hitchcock,,,director
46,Lindsay Lohan,1986,,"actress,producer,music_department"
47,Mel Brooks,1926,,"actor,writer,producer"
48,Whoopi Goldberg,1955,,"actress,producer,writer"
49,Will Ferrell,,,producer
50,Weird Al Yankovic,,,
51,Tim Allen,,,sound_department
52,Robert De Niro,1943,,"actor,producer,director"
53,Regina Hall,,,actress
54,Peter Sellers,,,director
55,Mike Myers,,,writer
56,Sean Penn,,,miscellaneous
57,Kaitlyn Dever,1996,,"actress,producer,director"
58,Winona Ryder,1971,,"actress,producer,director"
59,Ron Livingston,,,
60,Hugh Grant,,,writer
61,Cameron Diaz,1972,,"actress,producer,soundtrack"
62,Simon Pegg,1970,,"actor,writer,producer"
63,Bradley Cooper,,,script_department
64,John Cleese,1939,,"actor,writer,producer"
65,Zero Mostel,1915,1977,"actor,soundtrack,archive_footage"
66,Brian O'Halloran,,,producer
67,Chevy Chase,1943,,"actor,writer,producer"
68,Nicolas Cage,1964,,"actor,producer,director"
69,Alicia Silverstone,1976,,"actress,producer,soundtrack"
70,Woody Allen,,,
71,Dan Aykroyd,1952,,"writer,actor,producer"
72,Kristen Wiig,1973,,"actress,producer,writer"
73,Gene Wilder,1933,2016,"actor,writer,director"
74,John Belushi,1949,1982,"actor,writer,music_department"
75,Graham Chapman,,,soundtrack
76,Cleavon Little,1939,1992,"actor,soundtrack,archive_footage"
77,Charlie Chaplin,,,
78,Jack Lemmon,1925,2001,"actor,producer,director"
79,Cary Elwes,,,producer
80,Jeff Bridges,,,camera_department
81,Claudette Colbert,,,
82,Tony Curtis,,,producer
83,Robert Hays,,,set_decorator
84,Douglas Fairbanks,,,editor
85,Fay Wray,1907,2004,"actress,writer,camera_department"
86,Judy Garland,1922,1969,"actress,soundtrack,archive_footage"
87,Humphrey Bogart,1899,1957,"actor,producer,miscellaneous"
88,Kirk Douglas,,,soundtrack
89,Pat Boone,1934,,"actor,producer,music_department"
90,Peter O'Toole,,,transportation_department
91,Steve McQueen,,,producer
92,Harrison Ford,,,sound_department
93,Michael Douglas,,,stunts
94,Sean Astin,1971,,"actor,producer,director"
95,Fairuza Balk,,,
96,Joey Cramer,1973,,"actor,writer,archive_footage"
97,David Bowie,,,camera_department
98,Rick Moranis,1953,,"actor,writer,producer"
99,Klaus Maria Brandauer,1943,,"actor,director,writer"
100,Kevin Costner,1955,,"actor,producer,director"
101,Daniel Day-Lewis,1957,,"actor,music_department,soundtrack"
102,Antonio Banderas,1960,,"actor,producer,writer"
103,Brendan Fraser,1968,,"actor,producer,art_department"
104,Angelina Jolie,1975,,"actress,producer,director"
105,Jim Caviezel,1968,,"actor,producer,archive_footage"
106,Ewan McGregor,1971,,"actor,producer,writer"
107,Claire Danes,1979,,"actress,producer,soundtrack"
108,Abigail Breslin,,,"costume_department,costume_designer"
109,Saoirse Ronan,1994,,"actress,producer,soundtrack"
110,Johnny Depp,1963,,"actor,producer,director"
111,Suraj Sharma,,,visual_effects
112,Neel Sethi,,,costume_designer
113,Tom Hiddleston,1981,,"actor,producer,soundtrack"
114,Dwayne Johnson,,,producer
115,Charlie Hunnam,1980,,"actor,producer,writer"
116,Storm Reid,,,producer
117,Isabela Moner,,,
118,Louis Ashbourne Serkis,,,actor
119,Zac Efron,1987,,"actor,producer,soundtrack"
120,Heath Ledger,1979,2008,"actor,director,cinematographer"
121,Hilary Swank,1974,,"actress,producer,soundtrack"
122,Mae Whitman,1988,,"actress,art_department,producer"
123,Alex Frost,,,visual_effects
124,Molly Ringwald,1968,,"actress,music_department,soundtrack"
125,John Travolta,1954,,"actor,producer,music_department"
126,Eric Stoltz,,,
127,James Woods,,,writer
128,Neve Campbell,,,make_up_department
129,Joseph Gordon-Levitt,1981,,"actor,producer,writer"
130,Thomas Mann,,,writer
131,Sanaa Lathan,1971,,"actress,producer,director"
132,Irene Cara,1959,2022,"music_artist,actress,music_department"
133,Chris Makepeace,1964,,"actor,assistant_director,producer"
134,Emma Stone,,,visual_effects
135,Dane DeHaan,1986,,"actor,archive_footage"
136,Logan Lerman,1992,,"actor,producer,archive_footage"
137,Kathleen Turner,,,actress
138,Jake Gyllenhaal,1980,,"actor,producer,camera_department"
139,Crispin Glover,1964,,"actor,director,writer"
140,Shameik Moore,1995,,"actor,soundtrack"
141,Emilio Estevez,1962,,"actor,director,producer"
142,Jason Schwartzman,,,actor
143,Miles Teller,1987,,"actor,producer,soundtrack"
144,Matthew Broderick,,,miscellaneous
145,Tom Cruise,1962,,"actor,producer,director"
146,Tom Holland,,,sound_department
147,Sissy Spacek,,,archive_footage
148,Thora Birch,1982,,"actress,producer,director"
