Director_ID,Name,Country,Birth_Year,Death_Year
1,akiva schaffer,,,
2,john francis daley,,,
3,hugh wilson,,,
4,keenen ivory wayans,,,
5,kay cannon,,,
6,chris columbus,,,
7,jason moore,,,
8,christopher morris,,,
9,penny marshall,,,
10,david wain,,,
11,tim story,,,
12,richard linklater,,,
13,tom shadyac,,,
14,mike judge,,,
15,trey parker,,,
16,judd apatow,,,
17,peter segal,,,
18,ted demme,,,
19,ben stiller,,,
20,jay chandrasekhar,,,
21,dennis dugan,,,
22,phil lord,,,
23,james l. brooks,,,
24,armando iannucci,,,
25,jon m. chu,,,
26,stephen chow,,,
27,wes anderson,,,
28,martin mcdonagh,,,
29,paul weitz,,,
30,joel coen,,,
31,robert luketic,,,
32,matthew warchus,,,
33,tim burton,,,
34,mike nichols,,,
35,ron underwood,,,
36,ivan reitman,,,
37,sharon maguire,,,
38,norman jewison,,,
39,arthur hiller,,,
40,alexander mackendrick,,,
41,frank oz,,,
42,danny leiner,,,
43,jared hess,,,
44,steve gordon,,,
45,sydney pollack,,,
46,christopher guest,,,
47,mark waters,,,
48,mel brooks,,,
49,emile ardolino,,,
50,adam mckay,,,
51,jay levey,,,
52,dean parisot,,,
53,jay roach,,,
54,malcolm d. lee,,,
55,hal ashby,,,
56,penelope spheeris,,,
57,amy heckerling,,,
58,olivia wilde,,,
59,michael lehmann,,,
60,martin brest,,,
61,mike newell,,,
62,bobby farrelly,,,
63,f. gary gray,,,
64,greg mottola,,,
65,edgar wright,,,
66,todd phillips,,,
67,jon favreau,,,
68,charles crichton,,,
69,kevin smith,,,
70,harold ramis,,,
71,woody allen,,,
72,john landis,,,
73,paul feig,,,
74,terry jones,,,
75,carl reiner,,,
76,charlie chaplin,,,
77,billy wilder,,,
78,rob reiner,,,
79,frank capra,,,
80,terry gilliam,,,
81,jim abrahams,,,
82,charles chaplin,,,
83,fred niblo,,,
84,merian c. cooper,,,
85,victor fleming,,,
86,john huston,,,
87,richard fleischer,,,
88,henry levin,,,
89,david lean,,,
90,john sturges,,,
91,steven spielberg,,,
92,robert zemeckis,,,
93,richard donner,,,
94,walter murch,,,
95,randal kleiser,,,
96,jim henson,,,
97,joe johnston,,,
98,kevin reynolds,,,
99,michael mann,,,
100,martin campbell,,,
101,stephen sommers,,,
102,simon west,,,
103,jon turteltaub,,,
104,matthew vaughn,,,
105,jennifer flackett,,,
106,gil kenan,,,
107,ang lee,,,
108,jordan vogt-roberts,,,
109,jake kasdan,,,
110,james gray,,,
111,ava duvernay,,,
112,james bobin,,,
113,joe cornish,,,
114,kenny ortega,,,
115,gil junger,,,
116,richard lagravenese,,,
117,ari sandel,,,
118,gus van sant,,,
119,howard deutch,,,
120,sofia coppola,,,
121,wes craven,,,
122,rian johnson,,,
123,alfonso gomez-rejon,,,
124,gina prince,,,
125,alan parker,,,
126,tony bill,,,
127,john hughes,,,
128,peter weir,,,
129,will gluck,,,
130,josh trank,,,
131,stephen chbosky,,,
132,francis ford coppola,,,
133,richard kelly,,,
134,tim hunter,,,
135,rick famuyiwa,,,
136,adam shankman,,,
137,james ponsoldt,,,
138,alexander payne,,,
139,paul brickman,,,
140,jon watts,,,
141,brian de palma,,,
142,terry zwigoff,,,
143,jason reitman,,,
144,kelly fremon craig,,,
145,george lucas,,,
146,greta gerwig,,,
147,peter bogdanovich,,,
148,william brent bell,,,
149,gregory dark,,,
150,masayuki ochiai,,,
151,roland joffé,,,
152,john ottman,,,
153,jonathan liebesman,,,
154,sylvain white,,,
155,janusz kaminski,,,
156,f. javier gutiérrez,,,
157,stephen hopkins,,,
158,mennan yapo,,,
159,anthony waller,,,
160,j.s. cardone,,,
161,danny cannon,,,
162,nelson mccormick,,,
163,jim sheridan,,,
164,stiles white,,,
165,michael goi,,,
166,måns mårlind,,,
167,steve carpenter,,,
168,jaume balagueró,,,
169,rupert wainwright,,,
170,niels arden oplev,,,
171,nick hamm,,,
172,greg mclean,,,
173,uwe boll,,,
174,todd lincoln,,,
175,chuck russell,,,
176,mickey liddell,,,
177,d.j. caruso,,,
178,travis z,,,
179,Éric valette,,,
180,peter hyams,,,
181,kurt wimmer,,,
182,zhang yimou,,,
183,rowdy herrington,,,
184,tony scott,,,
185,gordon parks,,,
186,renny harlin,,,
187,robert rodriguez,,,
188,brett ratner,,,
189,anthony russo,,,
190,wolfgang petersen,,,
191,newt arnold,,,
192,stephen norrington,,,
193,michael bay,,,
194,paul michael glaser,,,
195,andrew davis,,,
196,michael davis,,,
197,mark neveldine,,,
198,nicolas winding refn,,,
199,roland emmerich,,,
200,peter yates,,,
201,john frankenheimer,,,
202,john carpenter,,,
203,walter hill,,,
204,paul verhoeven,,,
205,kathryn bigelow,,,
206,adam wingard,,,
207,zack snyder,,,
208,james cameron,,,
209,marco brambilla,,,
210,ilya naishuller,,,
211,luc besson,,,
212,david leitch,,,
213,stanley tong,,,
214,james mangold,,,
215,guy hamilton,,,
216,patty jenkins,,,
217,park chan-wook,,,
218,william friedkin,,,
219,james wan,,,
220,don siegel,,,
221,doug liman,,,
222,ryan coogler,,,
223,christopher nolan,,,
224,mel gibson,,,
225,pete travis,,,
226,wilson yip,,,
227,john woo,,,
228,justin lin,,,
229,robert clouse,,,
230,mark l. lester,,,
231,ted kotcheff,,,
232,ridley scott,,,
233,jan de bont,,,
234,chad stahelski,,,
235,john mctiernan,,,
236,paul greengrass,,,
237,andy wachowski,,,
238,george miller,,,
239,clive barker,,,
240,chris kentis,,,
241,gore verbinski,,,
242,bill paxton,,,
243,james watkins,,,
244,bernard rose,,,
245,mike flanagan,,,
246,thom eberhardt,,,
247,joel schumacher,,,
248,veronika franz,,,
249,roxanne benjamin,,,
250,david f. sandberg,,,
251,david cronenberg,,,
252,mikael hafstrom,,,
253,kim jee-woon,,,
254,jaume collet-serra,,,
255,e. elias merhige,,,
256,ti west,,,
257,alejandro amenábar,,,
258,oren peli,,,
259,john fawcett,,,
260,ben howling,,,
261,james gunn,,,
262,william castle,,,
263,tobe hooper,,,
264,peter jackson,,,
265,adam stein,,,
266,neil marshall,,,
267,chris peckover,,,
268,ant timpson,,,
269,alexandre aja,,,
270,karyn kusama,,,
271,ben young,,,
272,s. craig zahler,,,
273,daniel myrick,,,
274,alice lowe,,,
275,marcin wrona,,,
276,tom holland,,,
277,robin hardy,,,
278,wolf rilla,,,
279,richard stanley,,,
280,matt reeves,,,
281,david gordon green,,,
282,david lynch,,,
283,guillermo del toro,,,
284,gerard johnstone,,,
285,rupert julian,,,
286,george romero,,,
287,aaron moorhead,,,
288,stuart gordon,,,
289,ruben fleischer,,,
290,trey edward shults,,,
291,stanley kubrick,,,
292,bong joon-ho,,,
293,dario argento,,,
294,anna biller,,,
295,philip kaufman,,,
296,julia ducournau,,,
297,sam raimi,,,
298,jeremy saulnier,,,
299,ari aster,,,
300,andre de toth,,,
301,ana lily amirpour,,,
302,matt bettinelli-olpin,,,
303,jacques tourneur,,,
304,alfred hitchcock,,,
305,babak anvari,,,
306,rob savage,,,
307,dan trachtenberg,,,
308,robert eggers,,,
309,drew goddard,,,
310,roman polanski,,,
311,jonathan demme,,,
312,james whale,,,
313,george a. romero,,,
314,david robert mitchell,,,
315,jennifer kent,,,
316,john krasinski,,,
317,jordan peele,,,
318,barry levinson,,,
319,baltasar kormákur,,,
320,giuseppe capotondi,,,
321,david mamet,,,
322,guy ritchie,,,
323,steven soderbergh,,,
324,j.j. abrams,,,
325,brian g. hutton,,,
326,phil alden robinson,,,
327,roger donaldson,,,
328,peyton reed,,,
329,gareth edwards,,,
330,sam peckinpah,,,
331,spike lee,,,
332,michael cimino,,,
333,quentin tarantino,,,
334,jonathan glazer,,,
335,scott frank,,,
336,arthur penn,,,
337,bryan singer,,,
338,bart layton,,,
339,blake edwards,,,
340,george roy hill,,,
341,miranda july,,,
342,steve mcqueen,,,
343,ben affleck,,,
344,david o. russell,,,
345,sidney lumet,,,
346,david mackenzie,,,
347,john stockwell,,,
348,sylvester stallone,,,
349,david mickey evans,,,
350,thomas carter,,,
351,john lee hancock,,,
352,harald zwart,,,
353,ron shelton,,,
354,rawson marshall thurber,,,
355,will speck,,,
356,boaz yakin,,,
357,david anspaugh,,,
358,robert aldrich,,,
359,gary ross,,,
360,gavin o'connor,,,
361,clint eastwood,,,
362,david s. ward,,,
363,michael dowse,,,
364,niki caro,,,
365,ron howard,,,
366,cameron crowe,,,
367,nick park,,,
368,brian helgeland,,,
369,hugh hudson,,,
370,dexter fletcher,,,
371,drew barrymore,,,
372,warren beatty,,,
373,euros lyn,,,
374,martin scorsese,,,
375,kevin macdonald,,,
376,louise osmond,,,
377,bennett miller,,,
378,steven caple jr.,,,
379,michael ritchie,,,
380,robert rossen,,,
381,john g. avildsen,,,
382,elizabeth chai vasarhelyi,,,
383,darren aronofsky,,,
384,craig gillespie,,,
385,michael j. bassett,,,
386,john milius,,,
387,rob minkoff,,,
388,desmond davis,,,
389,andrew adamson,,,
390,kirk jones,,,
391,rob marshall,,,
392,p.j. hogan,,,
393,spike jonze,,,
394,john boorman,,,
395,matthew robbins,,,
