Movie_ID,Title,Year,IMDB_Rating,Metascore,Box_Office,Time_Minute,Votes,Director_ID,Director_Name
1,Hot Rod,2007,6.7,43,14371564.0,88,84956,1,akiva schaffer
2,Game Night,2018,6.9,66,117378084.0,100,229292,2,john francis daley
3,The First Wives Club,1996,6.4,58,181489203.0,103,48413,3,hugh wilson
4,Scary Movie,2000,6.2,48,277200000.0,88,254927,4,keenen ivory wayans
5,Blockers,2018,6.2,69,94523781.0,102,78498,5,kay cannon
6,Mrs. Doubtfire,1993,7.0,53,441286003.0,125,264071,6,chris columbus
7,Pitch Perfect,2012,7.1,66,116044347.0,112,299964,7,jason moore
8,Four Lions,2009,7.2,68,8607693.0,97,77085,8,christopher morris
9,Big,1988,7.3,73,151665347.0,104,215913,9,penny marshall
10,Wet Hot American Summer,2001,6.5,42,292102.0,97,57434,10,david wain
11,Barbershop,2002,6.3,66,77063461.0,102,31217,11,tim story
12,Dazed and Confused,1993,7.6,78,7961889.0,103,179851,12,richard linklater
13,Ace Ventura: Pet Detective,1994,6.9,37,107217396.0,86,296069,13,tom shadyac
14,Idiocracy,2006,6.5,66,500296.0,84,159456,14,mike judge
15,Team America: World Police,2004,7.2,64,50948811.0,98,167709,15,trey parker
16,Trainwreck,2015,6.2,75,141123897.0,125,136145,16,judd apatow
17,Tommy Boy,1995,7.1,46,32648673.0,97,85969,17,peter segal
18,Life,1999,6.7,63,101815660.0,108,49950,18,ted demme
19,Zoolander,2001,6.5,61,60780981.0,90,261336,19,ben stiller
20,Super Troopers,2001,7.0,48,23182223.0,100,103764,20,jay chandrasekhar
21,Happy Gilmore,1996,7.0,31,41004412.0,92,218210,21,dennis dugan
22,21 Jump Street,2012,7.2,69,202812429.0,109,546265,22,phil lord
23,Broadcast News,1987,7.2,84,67331309.0,133,30773,23,james l. brooks
24,In the Loop,2009,7.4,83,7788804.0,106,57508,24,armando iannucci
25,Crazy Rich Asians,2018,6.9,74,238099711.0,120,166390,25,jon m. chu
26,Shaolin Soccer,2001,7.3,68,42776032.0,87,79340,26,stephen chow
27,The Grand Budapest Hotel,2014,8.1,88,163503514.0,99,780952,27,wes anderson
28,In Bruges,2008,7.9,67,34533783.0,107,413975,28,martin mcdonagh
29,American Pie,1999,7.0,58,234723148.0,95,399405,29,paul weitz
30,Burn After Reading,2008,7.0,63,168167798.0,96,327870,30,joel coen
31,Legally Blonde,2001,6.4,59,141809235.0,96,210717,31,robert luketic
32,Pride,2014,7.8,79,7285099.0,119,55695,32,matthew warchus
33,Beetlejuice,1988,7.5,70,74837061.0,92,291334,33,tim burton
34,The Birdcage,1996,7.1,72,181760553.0,117,88134,34,mike nichols
35,City Slickers,1991,6.8,70,124033872.0,113,55915,35,ron underwood
36,Stripes,1981,6.8,68,85300000.0,106,73041,36,ivan reitman
37,Bridget Jones's Diary,2001,6.7,66,277902373.0,97,240519,37,sharon maguire
38,Moonstruck,1987,7.1,83,80642215.0,102,58591,38,norman jewison
39,The In-Laws,1979,5.7,46,38200000.0,98,17065,39,arthur hiller
40,The Ladykillers,1955,6.2,56,77392139.0,104,104076,40,alexander mackendrick
41,A League of Their Own,1992,7.3,69,132440066.0,128,104402,9,penny marshall
42,Dirty Rotten Scoundrels,1988,7.4,68,42039000.0,110,70935,41,frank oz
