Review_ID,Movie_ID,RatingTomatometer,Number_of_Reviews
1,268,96.0,525
2,1027,96.0,525
3,1786,96.0,525
4,272,94.0,547
5,1031,94.0,547
6,1790,94.0,547
7,300,97.0,434
8,1059,97.0,434
9,1818,97.0,434
10,260,93.0,472
11,1019,93.0,472
12,1778,93.0,472
13,258,94.0,424
14,1017,94.0,424
15,1776,94.0,424
16,563,97.0,354
17,1322,97.0,354
18,2080,97.0,354
19,724,92.0,463
20,1483,92.0,463
21,2241,92.0,463
22,567,95.0,344
23,1326,95.0,344
24,2084,95.0,344
25,570,93.0,387
26,1329,93.0,387
27,2087,93.0,387
28,560,98.0,298
29,1319,98.0,298
30,2077,98.0,298
31,102,98.0,66
32,861,98.0,66
33,1620,98.0,66
34,283,92.0,396
35,1042,92.0,396
36,1801,92.0,396
37,170,92.0,395
38,929,92.0,395
39,1688,92.0,395
40,666,96.0,93
41,1425,96.0,93
42,2183,96.0,93
43,400,98.0,95
44,1159,98.0,95
45,1918,98.0,95
46,561,98.0,298
47,1320,98.0,298
48,2078,98.0,298
49,278,94.0,345
50,1037,94.0,345
51,1796,94.0,345
52,107,94.0,124
53,866,94.0,124
54,1625,94.0,124
55,226,90.0,427
56,985,90.0,427
57,1744,90.0,427
58,133,94.0,327
59,892,94.0,327
60,1651,94.0,327
61,568,95.0,283
62,1327,95.0,283
63,2085,95.0,283
64,259,99.0,69
65,1018,99.0,69
66,1777,99.0,69
67,263,96.0,85
68,1022,96.0,85
69,1781,96.0,85
70,257,94.0,281
71,1016,94.0,281
72,1775,94.0,281
73,287,100.0,65
74,1046,100.0,65
75,1805,100.0,65
76,743,97.0,206
77,1502,97.0,206
78,2260,97.0,206
79,571,94.0,283
80,1330,94.0,283
81,2088,94.0,283
82,94,98.0,80
83,853,98.0,80
84,1612,98.0,80
85,296,97.0,78
86,1055,97.0,78
87,1814,97.0,78
88,650,95.0,275
89,1409,95.0,275
90,2167,95.0,275
91,729,93.0,270
92,1488,93.0,270
93,2246,93.0,270
94,282,94.0,264
95,1041,94.0,264
96,1800,94.0,264
97,663,93.0,288
98,1422,93.0,288
99,2180,93.0,288
100,580,88.0,337
101,1339,88.0,337
102,2097,88.0,337
103,104,96.0,46
104,863,96.0,46
105,1622,96.0,46
106,261,90.0,308
107,1020,90.0,308
108,1779,90.0,308
109,551,95.0,255
110,1310,95.0,255
111,2068,95.0,255
112,74,97.0,73
113,833,97.0,73
114,1592,97.0,73
115,176,96.0,83
116,935,96.0,83
117,1694,96.0,83
118,267,96.0,80
119,1026,96.0,80
120,1785,96.0,80
121,291,97.0,159
122,1050,97.0,159
123,1809,97.0,159
124,239,98.0,43
125,998,98.0,43
126,1757,98.0,43
127,562,97.0,453
128,1321,97.0,453
129,2079,97.0,453
130,558,98.0,379
131,1317,98.0,379
132,2075,98.0,379
133,563,97.0,354
134,1322,97.0,354
135,2080,97.0,354
136,567,95.0,344
137,1326,95.0,344
138,2084,95.0,344
139,570,93.0,387
140,1329,93.0,387
141,2087,93.0,387
142,560,98.0,298
143,1319,98.0,298
144,2077,98.0,298
145,561,98.0,298
146,1320,98.0,298
147,2078,98.0,298
148,559,98.0,309
149,1318,98.0,309
150,2076,98.0,309
151,554,100.0,170
152,1313,100.0,170
153,2071,100.0,170
154,569,94.0,338
155,1328,94.0,338
156,2086,94.0,338
157,556,99.0,269
158,1315,99.0,269
159,2073,99.0,269
160,568,95.0,283
161,1327,95.0,283
162,2085,95.0,283
163,555,100.0,92
164,1314,100.0,92
165,2072,100.0,92
166,557,99.0,212
167,1316,99.0,212
168,2074,99.0,212
169,565,96.0,251
170,1324,96.0,251
171,2082,96.0,251
172,571,94.0,283
173,1330,94.0,283
174,2088,94.0,283
175,564,97.0,249
176,1323,97.0,249
177,2081,97.0,249
178,580,88.0,337
179,1339,88.0,337
180,2097,88.0,337
181,566,96.0,199
182,1325,96.0,199
183,2083,96.0,199
184,575,90.0,250
185,1334,90.0,250
186,2092,90.0,250
187,576,90.0,227
188,1335,90.0,227
189,2093,90.0,227
190,574,91.0,188
191,1333,91.0,188
192,2091,91.0,188
193,572,92.0,169
194,1331,92.0,169
195,2089,92.0,169
196,573,92.0,93
197,1332,92.0,93
198,2090,92.0,93
199,579,89.0,189
200,1338,89.0,189
201,2096,89.0,189
202,578,89.0,227
203,1337,89.0,227
204,2095,89.0,227
205,577,89.0,237
206,1336,89.0,237
207,2094,89.0,237
208,582,88.0,210
209,1341,88.0,210
210,2099,88.0,210
211,581,88.0,222
212,1340,88.0,222
213,2098,88.0,222
214,583,87.0,197
215,1342,87.0,197
216,2100,87.0,197
217,291,97.0,159
218,1050,97.0,159
219,1809,97.0,159
220,96,99.0,98
221,855,99.0,98
222,1614,99.0,98
223,103,98.0,160
224,862,98.0,160
225,1621,98.0,160
226,91,98.0,109
227,850,98.0,109
228,1609,98.0,109
229,756,100.0,95
230,1515,100.0,95
231,2272,100.0,95
232,758,100.0,67
233,1517,100.0,67
234,2274,100.0,67
235,668,98.0,91
236,1427,98.0,91
237,2185,98.0,91
238,102,98.0,66
239,861,98.0,66
240,1620,98.0,66
241,405,96.0,105
242,1164,96.0,105
243,1923,96.0,105
244,666,96.0,93
245,1425,96.0,93
246,2183,96.0,93
247,759,100.0,42
248,1518,100.0,42
249,2275,100.0,42
250,107,94.0,124
251,866,94.0,124
252,1625,94.0,124
253,398,100.0,52
254,1157,100.0,52
255,1916,100.0,52
256,178,100.0,60
257,937,100.0,60
258,1696,100.0,60
259,259,99.0,69
260,1018,99.0,69
261,1777,99.0,69
262,753,100.0,53
263,1512,100.0,53
264,2270,100.0,53
265,375,98.0,58
266,1134,98.0,58
267,1893,98.0,58
268,263,96.0,85
269,1022,96.0,85
270,1781,96.0,85
271,336,95.0,55
272,1095,95.0,55
273,1854,95.0,55
274,394,96.0,75
275,1153,96.0,75
276,1912,96.0,75
277,391,96.0,74
278,1150,96.0,74
279,1909,96.0,74
280,667,95.0,57
281,1426,95.0,57
282,2184,95.0,57
283,100,96.0,55
284,859,96.0,55
285,1618,96.0,55
286,390,95.0,65
287,1149,95.0,65
288,1908,95.0,65
289,393,94.0,51
290,1152,94.0,51
291,1911,94.0,51
292,104,96.0,46
293,863,96.0,46
294,1622,96.0,46
295,96,99.0,98
296,855,99.0,98
297,1614,99.0,98
298,91,98.0,109
299,850,98.0,109
300,1609,98.0,109
301,562,97.0,453
302,1321,97.0,453
303,2079,97.0,453
304,177,99.0,398
305,936,99.0,398
306,1695,99.0,398
307,60,96.0,378
308,819,96.0,378
309,1578,96.0,378
310,563,97.0,354
311,1322,97.0,354
312,2080,97.0,354
313,758,100.0,67
314,1517,100.0,67
315,2274,100.0,67
316,713,98.0,305
317,1472,98.0,305
318,2230,98.0,305
319,560,98.0,298
320,1319,98.0,298
321,2077,98.0,298
322,759,100.0,42
323,1518,100.0,42
324,2275,100.0,42
325,561,98.0,298
326,1320,98.0,298
327,2078,98.0,298
328,559,98.0,309
329,1318,98.0,309
330,2076,98.0,309
331,554,100.0,170
332,1313,100.0,170
333,2071,100.0,170
334,556,99.0,269
335,1315,99.0,269
336,2073,99.0,269
337,730,93.0,311
338,1489,93.0,311
339,2247,93.0,311
340,709,96.0,262
341,1468,96.0,262
342,2226,96.0,262
343,718,91.0,351
344,1477,91.0,351
345,2235,91.0,351
346,555,100.0,92
347,1314,100.0,92
348,2072,100.0,92
349,25,90.0,367
350,784,90.0,367
351,1543,90.0,367
352,98,97.0,78
353,857,97.0,78
354,1616,97.0,78
355,743,97.0,206
356,1502,97.0,206
357,2260,97.0,206
358,27,92.0,311
359,786,92.0,311
360,1545,92.0,311
361,565,96.0,251
362,1324,96.0,251
363,2082,96.0,251
364,564,97.0,249
365,1323,97.0,249
366,2081,97.0,249
367,80,96.0,84
368,839,96.0,84
369,1598,96.0,84
370,708,96.0,214
371,1467,96.0,214
372,2225,96.0,214
373,446,92.0,285
374,1205,92.0,285
375,1964,92.0,285
376,711,97.0,233
377,1470,97.0,233
378,2228,97.0,233
379,93,97.0,86
380,852,97.0,86
381,1611,97.0,86
382,100,96.0,55
383,859,96.0,55
384,1618,96.0,55
385,99,97.0,71
386,858,97.0,71
387,1617,97.0,71
388,393,94.0,51
389,1152,94.0,51
390,1911,94.0,51
391,566,96.0,199
392,1325,96.0,199
393,2083,96.0,199
394,9,97.0,76
395,768,97.0,76
396,1527,97.0,76
397,74,97.0,73
398,833,97.0,73
399,1592,97.0,73
400,174,94.0,216
401,933,94.0,216
402,1692,94.0,216
403,176,96.0,83
404,935,96.0,83
405,1694,96.0,83
406,508,97.0,71
407,1267,97.0,71
408,2025,97.0,71
409,92,93.0,72
410,851,93.0,72
411,1610,93.0,72
412,722,92.0,262
413,1481,92.0,262
414,2239,92.0,262
415,23,98.0,53
416,782,98.0,53
417,1541,98.0,53
418,510,97.0,157
419,1269,97.0,157
420,2027,97.0,157
421,744,100.0,69
422,1503,100.0,69
